Well,Sample_ID,Conc,Tissue_ID,Tissue,Germ_layer
A1,PD41768kx_lo0001,54.843,Skin_HAIR_FOLLICLE,HAIR_FOLLICLE,ECTODERM
C1,PD41768kx_lo0003,10.99633333,Skin_EPIDERMIS,EPIDERMIS,ECTODERM
C2,PD41768kx_lo0011,13.439,Skin_PERIPHERAL_NERVE,PERIPHERAL_NERVE,ECTODERM
F2,PD41768kx_lo0014,60.90866667,Skin_HAIR_FOLLICLE,HAIR_FOLLICLE,ECTODERM
D3,PD41768kx_lo0020,12.79833333,Skin_HAIR_FOLLICLE,HAIR_FOLLICLE,ECTODERM
F3,PD41768kv2_lo0001,26.952,Heart_RIGHT_VENTRICLE,HEART,MESODERM
G3,PD41768kv2_lo0002,48.59433333,Heart_RIGHT_VENTRICLE,HEART,MESODERM
H3,PD41768kv2_lo0003,55.08733333,Heart_RIGHT_VENTRICLE,HEART,MESODERM
C4,PD41768kv2_lo0006,53.56933333,Heart_INTER_VENTRICULAR_SEPTUM,HEART,MESODERM
D4,PD41768kv2_lo0007,40.38633333,Heart_INTER_VENTRICULAR_SEPTUM,HEART,MESODERM
G4,PD41768kv2_lo0010,55.468,Heart_LEFT_VENTRICLE,HEART,MESODERM
H4,PD41768kv2_lo0011,31.113,Heart_LEFT_VENTRICLE,HEART,MESODERM
A5,PD41768kv2_lo0012,53.408,Heart_LEFT_VENTRICLE,HEART,MESODERM
B5,PD41768kv2_lo0013,58.743,Heart_LEFT_VENTRICLE,HEART,MESODERM
D5,PD41768kv2_lo0015,17.26666667,Heart_LEFT_ATRIUM,HEART,MESODERM
E5,PD41768kv2_lo0016,32.561,Heart_LEFT_ATRIUM,HEART,MESODERM
G5,PD41768kx_lo0022,11.62633333,Skin_EPIDERMIS,EPIDERMIS,ECTODERM
H5,PD41768kx_lo0023,19.47966667,Skin_EPIDERMIS,EPIDERMIS,ECTODERM
A6,PD41768kx_lo0024,22.59466667,Skin_EPIDERMIS,EPIDERMIS,ECTODERM
B6,PD41768kx_lo0025,36.29733333,Skin_EPIDERMIS,EPIDERMIS,ECTODERM
C6,PD41768kx_lo0026,41.04533333,Skin_EPIDERMIS,EPIDERMIS,ECTODERM
D6,PD41768kx_lo0027,38.30233333,Skin_EPIDERMIS,EPIDERMIS,ECTODERM
E6,PD41768kx_lo0028,47.75166667,Skin_EPIDERMIS,EPIDERMIS,ECTODERM
F6,PD41768kx_lo0029,44.177,Skin_EPIDERMIS,EPIDERMIS,ECTODERM
G6,PD41768kx_lo0031,26.89533333,Skin_EPIDERMIS,EPIDERMIS,ECTODERM
H6,PD41768kx_lo0030,18.09166667,Skin_HAIR_FOLLICLE,HAIR_FOLLICLE,ECTODERM
D7,PD41768kw2_lo0004,15.86933333,Kidney_COLLECTING_DUCTS,KIDNEY,MESODERM
F7,PD41768kw2_lo0006,15.171,Kidney_COLLECTING_DUCTS,KIDNEY,MESODERM
G7,PD41768kw2_lo0007,14.50533333,Kidney_COLLECTING_DUCTS,KIDNEY,MESODERM
H7,PD41768kw2_lo0008,24.93833333,Kidney_COLLECTING_DUCTS,KIDNEY,MESODERM
A8,PD41768kw2_lo0009,12.788,Kidney_DISTAL_TUBULE,KIDNEY,MESODERM
B8,PD41768kw2_lo0010,10.38733333,Kidney_GLOMERULI,KIDNEY,MESODERM
C8,PD41768kw2_lo0011,103.2376667,Kidney_GLOMERULI,KIDNEY,MESODERM
E8,PD41768kw2_lo0013,10.124,Kidney_PROXIMAL_TUBULE,KIDNEY,MESODERM
F8,PD41768kw2_lo0014,85.67466667,Kidney_GLOMERULI,KIDNEY,MESODERM
G8,PD41768kw2_lo0015,24.23666667,Kidney_DISTAL_TUBULE,KIDNEY,MESODERM
H8,PD41768kw2_lo0016,60.40033333,Kidney_DISTAL_TUBULE,KIDNEY,MESODERM
A9,PD41768kv2_lo0017,16.009,Heart_RIGHT_VENTRICLE,HEART,MESODERM
C9,PD41768kv2_lo0019,11.67233333,Heart_RIGHT_VENTRICLE,HEART,MESODERM
G9,PD41768kv2_lo0023,36.42966667,Heart_RIGHT_VENTRICLE,HEART,MESODERM
H9,PD41768kv2_lo0024,26.84566667,Heart_APEX,HEART,MESODERM
B10,PD41768kv2_lo0026,22.98666667,Heart_APEX,HEART,MESODERM
E10,PD41768kv2_lo0029,21.28066667,Heart_SEPTUM,HEART,MESODERM
F10,PD41768kv2_lo0030,23.65866667,Heart_SEPTUM,HEART,MESODERM
G10,PD41768kv2_lo0031,35.54333333,Heart_SEPTUM,HEART,MESODERM
A11,PD41768kw2_lo0017,28.93466667,Kidney_UROTHELIUM,KIDNEY,MESODERM
B11,PD41768kw2_lo0018,18.78833333,Kidney_UROTHELIUM,KIDNEY,MESODERM
