Donor_ID,coverage,Percentage
PD43947h_lo0002,25.63,97.50958
PD43947h_lo0003,23.39,98.007023
PD43947h_lo0004,20.17,96.244902
PD43947h_lo0005,26.55,97.17586
PD43947h_lo0006,26.83,97.85912
PD43947h_lo0007,26.18,96.762358
PD43947h_lo0008,25.47,96.504548
PD43947h_lo0009,23.49,96.657358
PD43947h_lo0010,16.15,87.001697
PD43947h_lo0011,23.45,97.879893
PD43947h_lo0013,26.76,97.956628
PD43947h_lo0014,31.14,97.748033
PD43947h_lo0015,28.54,97.768028
PD43947h_lo0016,22.54,86.356414
PD43947h_lo0017,21.6,97.712877
PD43947h_lo0018,25.77,98.008642
PD43947h_lo0019,26.27,98.016696
PD43947h_lo0021,28.44,98.003627
PD43947h_lo0022,28.28,97.858276
PD43947h_lo0023,25.73,97.095423
PD43947h_lo0024,28.99,98.072717
PD43947h_lo0026,25.51,97.429176
PD43947h_lo0027,28.45,98.060999
PD43947h_lo0028,18.26,96.494069
PD43947h_lo0029,21.6,97.98921
PD43947h_lo0030,17.53,95.974311
PD43947h_lo0031,25.24,98.130189
PD43947h_lo0032,28.8,97.96147
PD43947h_lo0034,29.29,97.831335
PD43947h_lo0035,15.58,94.146899
PD43947h_lo0036,20.07,95.454143
PD43947h_lo0037,27.74,97.136025
PD43947h_lo0038,28.18,97.987673
PD43947h_lo0039,28.54,97.947357
PD43947h_lo0040,24.98,98.035275
PD43947h_lo0041,18.78,92.788071
PD43947h_lo0042,23.7,97.828596
PD43947h_lo0043,23.24,97.946634
PD43947h_lo0044,25.92,97.684641
PD43947h_lo0045,24.42,97.536264
PD43947h_lo0046,24.45,97.963259
PD43947h_lo0047,17.81,97.44187
PD43947h_lo0048,28.98,97.725224
PD43947h_lo0049,26.6,98.002292
PD43947h_lo0050,21.59,97.347832
PD43947h_lo0051,19.3,97.479436
PD43947h_lo0052,22.34,97.119179
PD43947h_lo0055,27.28,94.754407
PD43947h_lo0056,18.62,92.553824
PD43947h_lo0057,24.22,96.820954
PD43947h_lo0058,24.84,96.124962
PD43947h_lo0059,24.69,98.127763
PD43947h_lo0060,27.11,97.900296
PD43947h_lo0061,29.03,96.829884
PD43947h_lo0064,29.9,95.666691
PD43947h_lo0065,17.27,90.913493
PD43947h_lo0066,25.14,97.428812
PD43947h_lo0067,23.17,97.895278
PD43947h_lo0068,24.68,94.575657
PD43947h_lo0069,19.05,82.260085
PD43947h_lo0070,23.48,93.656998
PD43947h_lo0071,17.89,96.978846
PD43947h_lo0072,25.9,98.038706
PD43947h_lo0073,24.29,97.529413
PD43947h_lo0074,21.67,90.495805
PD43947h_lo0075,25.96,91.476845
PD43947h_lo0076,23.15,97.794274
PD43947h_lo0077,22.4,96.636945
PD43947h_lo0078,19.91,97.647446
PD43947h_lo0079,25.25,97.574879
PD43947h_lo0080,15.49,81.202562
PD43947h_lo0081,15.92,95.448121
PD43947h_lo0082,20.2,98.023062
PD43947h_lo0086,25.27,97.53007
PD43947h_lo0087,25.28,98.111522
PD43947h_lo0088,22.81,97.350993
PD43947h_lo0089,23,97.709626
PD43947h_lo0090,25.81,97.842879
PD43947h_lo0091,22.44,96.659108
PD43947h_lo0092,20.7,91.547622
PD43947h_lo0093,19.65,94.236681
PD43947h_lo0094,25.56,97.166299
PD43947h_lo0095,18.26,92.087331
PD43947h_lo0096,22.36,97.720619
PD43947h_lo0097,21.48,93.5143
PD43947h_lo0098,23.34,97.570746
PD43947h_lo0099,20.53,97.794466
PD43947h_lo0100,20.62,97.204924
PD43947h_lo0101,23.55,97.829499
PD43947h_lo0102,17.67,90.622742
PD43947h_lo0103,23.65,97.722679
PD43947h_lo0105,21.49,97.284046
PD43947h_lo0106,25.57,97.956892
PD43947h_lo0107,21.93,94.685123
PD43947h_lo0108,17.72,93.164748
PD43947h_lo0109,23.47,97.041329
PD43947h_lo0110,24.02,97.066073
PD43947h_lo0111,25.98,96.663349
PD43947h_lo0112,25.25,97.377855
PD43947h_lo0113,18.44,97.38429
PD43947h_lo0114,22.21,97.590481
PD43947h_lo0115,23.46,97.721722
PD43947h_lo0116,27.21,97.012391
PD43947h_lo0117,24.71,97.302364
PD43947h_lo0118,20.83,91.720716
PD43947h_lo0119,20.37,93.986678
PD43947h_lo0120,7.72,46.531526
PD43947h_lo0121,26.86,97.63253
