Sample_ID,Conc,Cut,Tissue,Germ_layer,Gastrulation,Mesoderm_plate,Layer,
PD43947b_lo0004,59.447,BLOOD4,PERIPHERAL_BLOOD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
PD43947b_lo0002,37.825,BLOOD2,PERIPHERAL_BLOOD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
PD43947b_lo0003,32.986,BLOOD3,PERIPHERAL_BLOOD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
PD43947b_lo0001,18.263,BLOOD1,PERIPHERAL_BLOOD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
PD43947b_lo0005,17.881,BLOOD5,PERIPHERAL_BLOOD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
PD43947e_lo0014,35.3,LIMB1,LIMB,MESODERM,POST_GASTRULATION,UNKNOWN,UNKNOWN,
PD43947e_lo0011,32.859,HAND2,LIMB,MESODERM,POST_GASTRULATION,UNKNOWN,UNKNOWN,
PD43947e_lo0015,32.637,LIMB3,LIMB,MESODERM,POST_GASTRULATION,UNKNOWN,UNKNOWN,
PD43947d_lo0013,31.486,IVD5,INTER_VERTEBRAL_DISC,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,PARAXIAL_MESODERM,
PD43947e_lo0010,31.453,HAND1,LIMB,MESODERM,POST_GASTRULATION,UNKNOWN,UNKNOWN,
PD43947e_lo0012,30.442,HAND3,LIMB,MESODERM,POST_GASTRULATION,UNKNOWN,UNKNOWN,
PD43947e_lo0013,24.526,LIMB1,LIMB,MESODERM,POST_GASTRULATION,UNKNOWN,UNKNOWN,
PD43947d_lo0012,17.014,IVD4,INTER_VERTEBRAL_DISC,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,PARAXIAL_MESODERM,
PD43947d_lo0010,16.372,IVD2,INTER_VERTEBRAL_DISC,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,PARAXIAL_MESODERM,
PD43947d_lo0009,11.556,IVD1,INTER_VERTEBRAL_DISC,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,PARAXIAL_MESODERM,
PD43947e_lo0020,111.364,EPI11,EPIDERMIS,ECTODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ECTODERM,
PD43947e_lo0019,92.631,EPI10,EPIDERMIS,ECTODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ECTODERM,
PD43947e_lo0017,33.512,EPI10,EPIDERMIS,ECTODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ECTODERM,
PD43947e_lo0009,9.886,EPI9,EPIDERMIS,ECTODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ECTODERM,
PD43947d_lo0016,7.966,SKIN6,EPIDERMIS,ECTODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ECTODERM,
PD43947e_lo0002,7.039,EPI2,EPIDERMIS,ECTODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ECTODERM,
PD43947c_lo0019,82.407,GUT19,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947c_lo0024,64.508,GUT24,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947c_lo0009,58.217,GUT9,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947c_lo0014,51.674,GUT14,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947c_lo0022,43.075,GUT22,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947c_lo0004,36.385,GUT4,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947c_lo0016,34.919,GUT16,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947c_lo0020,31.634,GUT20,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947c_lo0023,29.64,GUT23,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947c_lo0012,24.975,GUT12,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947c_lo0002,17.346,GUT2,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947c_lo0006,10.801,GUT6,GUT,ENDODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,ENDODERM,
PD43947b_lo0013,57.468,RV4,HEART,MESODERM,POST_GASTRULATION,LATERAL_PLATE_MESODERM,LATERAL_PLATE_MESODERM,
PD43947b_lo0008,34.454,RV1,HEART,MESODERM,POST_GASTRULATION,LATERAL_PLATE_MESODERM,LATERAL_PLATE_MESODERM,
PD43947b_lo0012,28.731,RV3,HEART,MESODERM,POST_GASTRULATION,LATERAL_PLATE_MESODERM,LATERAL_PLATE_MESODERM,
PD43947b_lo0010,23.216,LV3,HEART,MESODERM,POST_GASTRULATION,LATERAL_PLATE_MESODERM,LATERAL_PLATE_MESODERM,
PD43947b_lo0009,17.288,RV2,HEART,MESODERM,POST_GASTRULATION,LATERAL_PLATE_MESODERM,LATERAL_PLATE_MESODERM,
PD43947b_lo0006,14.134,LV1,HEART,MESODERM,POST_GASTRULATION,LATERAL_PLATE_MESODERM,LATERAL_PLATE_MESODERM,
PD43947b_lo0016,13.947,LV6,HEART,MESODERM,POST_GASTRULATION,LATERAL_PLATE_MESODERM,LATERAL_PLATE_MESODERM,
PD43947b_lo0007,11.548,LV2,HEART,MESODERM,POST_GASTRULATION,LATERAL_PLATE_MESODERM,LATERAL_PLATE_MESODERM,
PD43947b_lo0011,11.04,LV4,HEART,MESODERM,POST_GASTRULATION,LATERAL_PLATE_MESODERM,LATERAL_PLATE_MESODERM,
PD43947g_lo0013,48.706,KIDNEY_UNDF8,KIDNEY,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,INTERMEDIATE_MESODERM,
PD43947g_lo0001,39.719,KIDNEY_UNDF1,KIDNEY,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,INTERMEDIATE_MESODERM,
PD43947g_lo0005,36.757,KIDNEY_UNDF4,KIDNEY,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,INTERMEDIATE_MESODERM,
PD43947g_lo0009,35.598,KIDNEY_UNDF5_2,KIDNEY,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,INTERMEDIATE_MESODERM,
PD43947g_lo0014,25.987,KIDNEY_UNDF9,KIDNEY,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,INTERMEDIATE_MESODERM,
PD43947g_lo0007,23.37,KIDNEY_UNDF5,KIDNEY,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,INTERMEDIATE_MESODERM,
PD43947g_lo0003,21.934,KIDNEY_TUB1,KIDNEY,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,INTERMEDIATE_MESODERM,
PD43947g_lo0008,18.62,KIDNEY_TUB3,KIDNEY,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,INTERMEDIATE_MESODERM,
